extract_dt,region_id,market_name,category,commodity,price
2026-02-09,130000000,New Las Pinas City Public Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-09,130000000,Marikina Public Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-09,130000000,Munoz Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-09,130000000,Mega Q Mart,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,57.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-09,130000000,Pritil Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-09,130000000,Dagonoy Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-09,130000000,Trabajo Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-09,130000000,Murphy Market,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (IMPORTED) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-09,130000000,New Las Pinas City Public Market,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,New Las Pinas City Public Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-09,130000000,Marikina Public Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-09,130000000,Mega Q Mart,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-09,130000000,Pritil Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,46.0
2026-02-09,130000000,Dagonoy Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-09,130000000,Trabajo Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,60.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,46.0
2026-02-09,130000000,Murphy Market,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-09,130000000,Pritil Market,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-09,130000000,New Las Pinas City Public Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,Marikina Public Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,59.0
2026-02-09,130000000,Munoz Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,Mega Q Mart,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,57.0
2026-02-09,130000000,Pritil Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-09,130000000,Dagonoy Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,55.0
2026-02-09,130000000,Murphy Market,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-09,130000000,Mega Q Mart,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-09,130000000,Pritil Market,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,42.0
2026-02-09,130000000,Dagonoy Market,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,42.0
2026-02-09,130000000,Trabajo Market,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,48.0
2026-02-09,130000000,Navotas Agora Market,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,42.0
2026-02-09,130000000,Marikina Public Market,Corn,"Corn (Yellow) - Cob, Sweet Corn",70.0
2026-02-09,130000000,Munoz Market,Corn,"Corn (Yellow) - Cob, Sweet Corn",70.0
2026-02-09,130000000,Mega Q Mart,Corn,"Corn (Yellow) - Cob, Sweet Corn",60.0
2026-02-09,130000000,Pritil Market,Corn,"Corn (Yellow) - Cob, Sweet Corn",80.0
2026-02-09,130000000,Dagonoy Market,Corn,"Corn (Yellow) - Cob, Sweet Corn",90.0
2026-02-09,130000000,Navotas Agora Market,Corn,"Corn (Yellow) - Cob, Sweet Corn",90.0
2026-02-09,130000000,Marikina Public Market,Legumes,Mungbean - KG,130.0
2026-02-09,130000000,Munoz Market,Legumes,Mungbean - KG,140.0
2026-02-09,130000000,Mega Q Mart,Legumes,Mungbean - KG,120.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Legumes,Mungbean - KG,120.0
2026-02-09,130000000,Pritil Market,Legumes,Mungbean - KG,120.0
2026-02-09,130000000,Trabajo Market,Legumes,Mungbean - KG,140.0
2026-02-09,130000000,Navotas Agora Market,Legumes,Mungbean - KG,120.0
2026-02-09,130000000,Murphy Market,Legumes,Mungbean - KG,140.0
2026-02-09,130000000,Marikina Public Market,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),260.0
2026-02-09,130000000,Munoz Market,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),240.0
2026-02-09,130000000,Mega Q Mart,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),200.0
2026-02-09,130000000,Trabajo Market,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),240.0
2026-02-09,130000000,Navotas Agora Market,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),260.0
2026-02-09,130000000,Murphy Market,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),240.0
2026-02-09,130000000,Marikina Public Market,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",340.0
2026-02-09,130000000,Trabajo Market,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",350.0
2026-02-09,130000000,New Las Pinas City Public Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),170.0
2026-02-09,130000000,Marikina Public Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),150.0
2026-02-09,130000000,Munoz Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),140.0
2026-02-09,130000000,Mega Q Mart,Fish,Tilapia - MEDIUM (5-6PCS/KG),140.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fish,Tilapia - MEDIUM (5-6PCS/KG),160.0
2026-02-09,130000000,Dagonoy Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),160.0
2026-02-09,130000000,Navotas Agora Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),140.0
2026-02-09,130000000,Murphy Market,Fish,Tilapia - MEDIUM (5-6PCS/KG),160.0
2026-02-09,130000000,Munoz Market,Fish,Squid (Pusit Bisaya) - Medium,480.0
2026-02-09,130000000,Munoz Market,Fish,Yellow-Fin Tuna (Tambakol),320.0
2026-02-09,130000000,Mega Q Mart,Fish,Yellow-Fin Tuna (Tambakol),320.0
2026-02-09,130000000,New Las Pinas City Public Market,Fish,Bangus (Large) - LARGE (KG),240.0
2026-02-09,130000000,Marikina Public Market,Fish,Bangus (Large) - LARGE (KG),290.0
2026-02-09,130000000,Munoz Market,Fish,Bangus (Large) - LARGE (KG),260.0
2026-02-09,130000000,Mega Q Mart,Fish,Bangus (Large) - LARGE (KG),220.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fish,Bangus (Large) - LARGE (KG),240.0
2026-02-09,130000000,Dagonoy Market,Fish,Bangus (Large) - LARGE (KG),280.0
2026-02-09,130000000,Trabajo Market,Fish,Bangus (Large) - LARGE (KG),260.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Calamansi - KG,150.0
2026-02-09,130000000,Marikina Public Market,Fruits,Calamansi - KG,130.0
2026-02-09,130000000,Munoz Market,Fruits,Calamansi - KG,140.0
2026-02-09,130000000,Mega Q Mart,Fruits,Calamansi - KG,120.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Calamansi - KG,110.0
2026-02-09,130000000,Pritil Market,Fruits,Calamansi - KG,130.0
2026-02-09,130000000,Dagonoy Market,Fruits,Calamansi - KG,140.0
2026-02-09,130000000,Trabajo Market,Fruits,Calamansi - KG,150.0
2026-02-09,130000000,Navotas Agora Market,Fruits,Calamansi - KG,120.0
2026-02-09,130000000,Murphy Market,Fruits,Calamansi - KG,150.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Banana (Lakatan) - 8-10PCS/KG,90.0
2026-02-09,130000000,Marikina Public Market,Fruits,Banana (Lakatan) - 8-10PCS/KG,120.0
2026-02-09,130000000,Mega Q Mart,Fruits,Banana (Lakatan) - 8-10PCS/KG,85.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Banana (Lakatan) - 8-10PCS/KG,90.0
2026-02-09,130000000,Navotas Agora Market,Fruits,Banana (Lakatan) - 8-10PCS/KG,100.0
2026-02-09,130000000,Murphy Market,Fruits,Banana (Lakatan) - 8-10PCS/KG,100.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Banana (Latundan) - 10-12PCS/KG,70.0
2026-02-09,130000000,Marikina Public Market,Fruits,Banana (Latundan) - 10-12PCS/KG,80.0
2026-02-09,130000000,Mega Q Mart,Fruits,Banana (Latundan) - 10-12PCS/KG,55.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Banana (Latundan) - 10-12PCS/KG,70.0
2026-02-09,130000000,Navotas Agora Market,Fruits,Banana (Latundan) - 10-12PCS/KG,90.0
2026-02-09,130000000,Murphy Market,Fruits,Banana (Latundan) - 10-12PCS/KG,80.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",180.0
2026-02-09,130000000,Marikina Public Market,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",200.0
2026-02-09,130000000,Mega Q Mart,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",180.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",150.0
2026-02-09,130000000,Pritil Market,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",160.0
2026-02-09,130000000,Navotas Agora Market,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",160.0
2026-02-09,130000000,Murphy Market,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",250.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",80.0
2026-02-09,130000000,Marikina Public Market,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",70.0
2026-02-09,130000000,Mega Q Mart,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",80.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",65.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Melon,90.0
2026-02-09,130000000,Marikina Public Market,Fruits,Melon,120.0
2026-02-09,130000000,Mega Q Mart,Fruits,Melon,85.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Melon,80.0
2026-02-09,130000000,Murphy Market,Fruits,Melon,100.0
2026-02-09,130000000,Marikina Public Market,Fruits,Avocado,350.0
2026-02-09,130000000,Mega Q Mart,Fruits,Avocado,200.0
2026-02-09,130000000,Murphy Market,Fruits,Avocado,400.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Pomelo - KG,150.0
2026-02-09,130000000,Marikina Public Market,Fruits,Pomelo - KG,320.0
2026-02-09,130000000,Mega Q Mart,Fruits,Pomelo - KG,180.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Pomelo - KG,140.0
2026-02-09,130000000,New Las Pinas City Public Market,Fruits,Watermelon - KG,65.0
2026-02-09,130000000,Marikina Public Market,Fruits,Watermelon - KG,80.0
2026-02-09,130000000,Mega Q Mart,Fruits,Watermelon - KG,80.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Watermelon - KG,65.0
2026-02-09,130000000,Murphy Market,Fruits,Watermelon - KG,70.0
2026-02-09,130000000,Munoz Market,Fruits,Banana (Saba) - KG,50.0
2026-02-09,130000000,Mega Q Mart,Fruits,Banana (Saba) - KG,55.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Fruits,Banana (Saba) - KG,40.0
2026-02-09,130000000,Pritil Market,Fruits,Banana (Saba) - KG,60.0
2026-02-09,130000000,Navotas Agora Market,Fruits,Banana (Saba) - KG,60.0
2026-02-09,130000000,Murphy Market,Fruits,Banana (Saba) - KG,60.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,90.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Carrots - 8-10PCS/KG,95.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Carrots - 8-10PCS/KG,120.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Carrots - 8-10PCS/KG,80.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Carrots - 8-10PCS/KG,90.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,90.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Habichuelas (Baguio Bean) - KG,70.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,90.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,White Potato - 10-12PCS/KG,110.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Pechay (Baguio) - KG,70.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Pechay (Baguio) - KG,70.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Pechay (Baguio) - KG,90.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Pechay (Baguio) - KG,90.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Chayote - KG,70.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Chayote - KG,60.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Chayote - KG,50.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Chayote - KG,50.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Chayote - KG,60.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Chayote - KG,60.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Chayote - KG,70.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Chayote - KG,60.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Chayote - KG,60.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Chayote - KG,70.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),200.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),150.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),120.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),120.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),140.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),240.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),220.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),300.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),270.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),220.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),220.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,Trabajo Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),180.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),250.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),300.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Celery - MEDIUM (501-800 G),120.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Celery - MEDIUM (501-800 G),200.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Celery - MEDIUM (501-800 G),180.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Celery - MEDIUM (501-800 G),200.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Celery - MEDIUM (501-800 G),250.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Cabbage (Rare Ball) - 510GM-1KG/HEAD,100.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Cabbage (Rare Ball) - 510GM-1KG/HEAD,80.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Cabbage (Rare Ball) - 510GM-1KG/HEAD,90.0
2026-02-09,130000000,Mega Q Mart,Highland Vegetables,Cabbage (Wonder Ball) - 510GM-1KG/HEAD,80.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Cabbage (Wonder Ball) - 510GM-1KG/HEAD,90.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Cabbage (Wonder Ball) - 510GM-1KG/HEAD,90.0
2026-02-09,130000000,Murphy Market,Highland Vegetables,Cabbage (Wonder Ball) - 510GM-1KG/HEAD,90.0
2026-02-09,130000000,New Las Pinas City Public Market,Highland Vegetables,Lettuce (Green Ice),220.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Lettuce (Green Ice),200.0
2026-02-09,130000000,Munoz Market,Highland Vegetables,Lettuce (Green Ice),200.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Lettuce (Green Ice),200.0
2026-02-09,130000000,Pritil Market,Highland Vegetables,Lettuce (Green Ice),200.0
2026-02-09,130000000,Dagonoy Market,Highland Vegetables,Lettuce (Green Ice),200.0
2026-02-09,130000000,Navotas Agora Market,Highland Vegetables,Lettuce (Green Ice),250.0
2026-02-09,130000000,Marikina Public Market,Highland Vegetables,Lettuce (Romaine),250.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Highland Vegetables,Lettuce (Romaine),250.0
2026-02-09,130000000,New Las Pinas City Public Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,160.0
2026-02-09,130000000,Marikina Public Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,160.0
2026-02-09,130000000,Munoz Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,150.0
2026-02-09,130000000,Mega Q Mart,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,150.0
2026-02-09,130000000,Pamilihang Lungsod Ng Muntinlupa,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,150.0
2026-02-09,130000000,Pritil Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,190.0
2026-02-09,130000000,Dagonoy Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,160.0
2026-02-09,130000000,Trabajo Market,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,160.0
