extract_dt,region_id,region_name,market_name,category,commodity,price,scrape_ts
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),BONGAO PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),COTABATO CITY MEGA MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),COTABATO CITY OLD MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),DATU ODIN SINSUAT PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),DATU PAGLAS PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),"JOLO PUBLIC, SERANTES CHINESE PIER MARKET",CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),LAMITAN CITY PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),MAIMBUNG PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),MALUSO PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),OMAIRA MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),PARANG PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),SHARIFF AGUAK PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,150000000,BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),"TUCA PUBLIC MARKET, MARAWI CITY",CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
