extract_dt,region_id,market_name,category,commodity,price
2026-02-14,100000000,CARMEN PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,100000000,COGON PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-14,100000000,MALAYBALAY CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-14,100000000,OROQUIETA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-14,100000000,SAN FERNANDO PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,100000000,OZAMIZ CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-14,100000000,GINGOOG CITY AGORA MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,57.0
2026-02-14,100000000,LAGUINDINGAN MUNICIPAL MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,57.0
2026-02-14,100000000,INITAO PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-14,100000000,CARMEN PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,58.0
2026-02-14,100000000,COGON PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,52.0
2026-02-14,100000000,INITAO PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,52.0
2026-02-14,100000000,DAMULOG PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,55.0
2026-02-14,100000000,CARMEN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,100000000,COGON PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,58.5
2026-02-14,100000000,MALAYBALAY CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-14,100000000,OROQUIETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,59.0
2026-02-14,100000000,OZAMIZ CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-14,100000000,GINGOOG CITY AGORA MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-14,100000000,DAMULOG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,44.0
2026-02-14,100000000,OROQUIETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,45.0
2026-02-14,100000000,OZAMIZ CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-14,100000000,DAMULOG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,37.0
2026-02-14,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-14,100000000,OROQUIETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-14,100000000,SAN FERNANDO PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,52.0
2026-02-14,100000000,OZAMIZ CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-14,100000000,DAMULOG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,50.0
2026-02-14,100000000,CARMEN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,55.0
2026-02-14,100000000,COGON PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-14,100000000,MALAYBALAY CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-14,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,54.0
2026-02-14,100000000,OROQUIETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,49.0
2026-02-14,100000000,OZAMIZ CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,52.0
2026-02-14,100000000,GINGOOG CITY AGORA MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,53.0
