extract_dt,region_id,market_name,category,commodity,price
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fruits,Calamansi - KG,55.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fruits,Calamansi - KG,70.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Calamansi - KG,80.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fruits,Banana (Lakatan) - 8-10PCS/KG,60.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,60.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,35.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fruits,Banana (Latundan) - 10-12PCS/KG,20.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,40.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,20.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",140.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",100.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",150.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",40.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",50.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fruits,Avocado,150.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Avocado,80.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fruits,Watermelon - KG,50.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Watermelon - KG,60.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fruits,Banana (Saba) - KG,20.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,62.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,53.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,35.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,50.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,54.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,52.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,52.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,52.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",35.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Corn,"Corn Grits (White, Food Grade) - KG",38.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",40.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",40.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",31.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Corn,"Corn Grits (Yellow, Food Grade) - KG",30.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Corn,"Corn Grits (Yellow, Food Grade) - KG",37.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Legumes,Mungbean - KG,120.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,Alumahan - MEDIUM (4-6PCS/KG),160.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Alumahan - MEDIUM (4-6PCS/KG),200.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),180.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),220.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",170.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",240.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",230.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),150.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Fish,Tilapia - MEDIUM (5-6PCS/KG),180.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),140.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),150.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,Sardines (Tamban),100.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fish,Sardines (Tamban),160.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Sardines (Tamban),150.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fish,Squid (Pusit Bisaya) - Medium,200.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Squid (Pusit Bisaya) - Medium,200.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Yellow-Fin Tuna (Tambakol),300.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),220.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),220.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),250.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,120.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,50.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,70.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,70.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,120.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Highland Vegetables,Carrots - 8-10PCS/KG,60.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,70.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,80.0
2026-02-11,100000000,KAPATAGAN PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-11,100000000,TUBOD BUSINESS COMMUNITY CENTER,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-11,100000000,MARAMAG PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,70.0
2026-02-11,100000000,SAN FERNANDO PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,70.0
