extract_dt,region_id,market_name,category,commodity,price
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,60.0
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-14,140000000,BANGUED PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,44.0
2026-02-14,140000000,BANGUED PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,46.0
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,44.0
2026-02-14,140000000,BANGUED PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,65.0
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,38.0
2026-02-14,140000000,BANGUED PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,52.0
2026-02-14,140000000,BAGUIO CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-14,140000000,BANGUED PUBLIC MARKET,Legumes,Mungbean - KG,120.0
