extract_dt,region_id,market_name,category,commodity,price
2026-02-14,130000000,COMMONWEALTH MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,NEW LAS PINAS CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-14,130000000,MARIKINA PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,MUNOZ MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-14,130000000,MUTYA NG PASIG MEGA MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-14,130000000,MEGA Q MART,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,PAMILIHANG LUNGSOD NG MUNTINLUPA,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-14,130000000,MALABON CENTRAL MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-14,130000000,PRITIL MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-14,130000000,DAGONOY MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-14,130000000,TRABAJO MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-14,130000000,NAVOTAS AGORA MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-14,130000000,MURPHY MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,NEW MARULAS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,BALINTAWAK MARKET (CLOVERLEAF),Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-14,130000000,MUTYA NG PASIG MEGA MARKET,Rice,COMMERCIAL (IMPORTED) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-14,130000000,NAVOTAS AGORA MARKET,Rice,COMMERCIAL (IMPORTED) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-14,130000000,NEW MARULAS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Regular Milled - 20-40% BRAN STREAK,37.0
2026-02-14,130000000,NEW LAS PINAS CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-14,130000000,MUTYA NG PASIG MEGA MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-14,130000000,PAMILIHANG LUNGSOD NG MUNTINLUPA,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
