extract_dt,region_id,market_name,category,commodity,price
<<<<<<< HEAD,,,,,
=======,,,,,
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,60.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,60.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,60.0
2026-02-14,10000000.0,SAN FERNANDO CITY WET MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,70.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,80.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,60.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,60.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,120.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,Carrots - 8-10PCS/KG,80.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,90.0
2026-02-14,10000000.0,SAN FERNANDO CITY WET MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,Carrots - 8-10PCS/KG,80.0
2026-02-14,10000000.0,URDANETA CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,Carrots - 8-10PCS/KG,70.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-14,10000000.0,SAN FERNANDO CITY WET MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-14,10000000.0,URDANETA CITY PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,Habichuelas (Baguio Bean) - KG,50.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-14,10000000.0,SAN FERNANDO CITY WET MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-14,10000000.0,URDANETA CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,70.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,White Potato - 10-12PCS/KG,100.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,Pechay (Baguio) - KG,100.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,60.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,60.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-14,10000000.0,URDANETA CITY PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,60.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,60.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,Pechay (Baguio) - KG,50.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Chayote - KG,60.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Chayote - KG,50.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,Chayote - KG,60.0
2026-02-14,10000000.0,SAN FERNANDO CITY WET MARKET,Highland Vegetables,Chayote - KG,60.0
2026-02-14,10000000.0,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Highland Vegetables,Chayote - KG,50.0
2026-02-14,10000000.0,URDANETA CITY PUBLIC MARKET,Highland Vegetables,Chayote - KG,40.0
2026-02-14,10000000.0,SAN CARLOS NEW PUBLIC MARKET,Highland Vegetables,Chayote - KG,40.0
2026-02-14,10000000.0,"AGOO, LA UNION PUBLIC MARKET",Highland Vegetables,Chayote - KG,40.0
2026-02-14,10000000.0,CITY OF BATAC PUBLIC MARKET,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-14,10000000.0,LAOAG CITY COMMERCIAL COMPLEX,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-14,10000000.0,CANDON CITY FARMERS PUBLIC MARKET,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),100.0
2026-02-14,10000000.0,VIGAN CITY PUBLIC MARKET,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),120.0
