extract_dt,region_id,market_name,category,commodity,price
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,57.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Well Milled - 1-19% BRAN STREAK,53.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,65.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",80.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Corn,"Corn Grits (Yellow, Food Grade) - KG",50.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fish,Alumahan - MEDIUM (4-6PCS/KG),150.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fish,Sardines (Tamban),25.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fish,Squid (Pusit Bisaya) - Medium,150.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,Calamansi - KG,80.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,50.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",150.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",60.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,Avocado,100.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,Watermelon - KG,60.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Fruits,Banana (Saba) - KG,50.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,120.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,120.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,Chayote - KG,50.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),400.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),400.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,120.0
2026-02-15,150000000,LAMITAN CITY PUBLIC MARKET,Lowland Vegetables,Squash - SUPREMA VARIETY,50.0
