extract_dt,region_id,market_name,category,commodity,price
2026-02-15,40000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-15,40000000,TANAY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-15,40000000,LIPA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-15,40000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,51.0
2026-02-15,40000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-15,40000000,TANAY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Regular Milled - 20-40% BRAN STREAK,35.0
2026-02-15,40000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,40000000,TANAY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,40000000,LIPA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,40000000,LUCENA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,40000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,57.0
2026-02-15,40000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,58.0
2026-02-15,40000000,TIAONG PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-15,40000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Well Milled - 1-19% BRAN STREAK,47.0
2026-02-15,40000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-15,40000000,TANAY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-15,40000000,LIPA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
