extract_dt,region_id,market_name,category,commodity,price
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",80.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",49.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",32.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Corn,Corn Grits (Feed Grade) - KG,34.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Legumes,Mungbean - KG,100.0
2026-02-15,60000000,TUBUNGAN PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",260.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",240.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),200.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Fish,Sardines (Tamban),100.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Fish,Bangus (Large) - LARGE (KG),260.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),240.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,100.0
2026-02-15,60000000,TUBUNGAN PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,120.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,100.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-15,60000000,TUBUNGAN PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,120.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,100.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,120.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,100.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,140.0
2026-02-15,60000000,TUBUNGAN PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,160.0
2026-02-15,60000000,NEW SITE ALIBHON MARKET,Highland Vegetables,Pechay (Baguio) - KG,120.0
2026-02-15,60000000,SAN CARLOS CITY PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,80.0
