extract_dt,region_id,market_name,category,commodity,price
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,59.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,45.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,46.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,52.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,52.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,47.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",42.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Legumes,Mungbean - KG,95.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),190.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),210.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Fish,"Galunggong(Imported) - MALE, MEDIUM (12-14PCS/KG)",200.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",250.0
2026-02-15,120000000,GENERAL SANTOS PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),170.0
2026-02-15,120000000,TACURONG CITY PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),130.0
