extract_dt,region_id,market_name,category,commodity,price
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,44.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,49.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,48.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,34.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,36.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,36.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,50.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,40.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Corn,"Corn (White) - Cob, Glutinous",50.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",80.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",60.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-16,020000000,ILAGAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,90.0
2026-02-16,020000000,ROXAS PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-16,020000000,CAUAYAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,100.0
