extract_dt,region_id,market_name,category,commodity,price
2026-02-10,130000000,COMMONWEALTH MARKET,Rice,NFA - KG,
2026-02-10,130000000,GUADALUPE PUBLIC MARKET,Rice,NFA - KG,
2026-02-10,130000000,NEW LAS PINAS CITY PUBLIC MARKET,Rice,NFA - KG,
2026-02-10,130000000,MARIKINA PUBLIC MARKET,Rice,NFA - KG,
2026-02-10,130000000,MUNOZ MARKET,Rice,NFA - KG,
2026-02-10,130000000,PASAY CITY MARKET,Rice,NFA - KG,
2026-02-10,130000000,MUTYA NG PASIG MEGA MARKET,Rice,NFA - KG,
2026-02-10,130000000,QUINTA MARKET,Rice,NFA - KG,
2026-02-10,130000000,SAN ANDRES MARKET,Rice,NFA - KG,
2026-02-10,130000000,MEGA Q MART,Rice,NFA - KG,
2026-02-10,130000000,PAMILIHANG LUNGSOD NG MUNTINLUPA,Rice,NFA - KG,
2026-02-10,130000000,MALABON CENTRAL MARKET,Rice,NFA - KG,
2026-02-10,130000000,PRITIL MARKET,Rice,NFA - KG,
2026-02-10,130000000,MAYPAJO PUBLIC MARKET,Rice,NFA - KG,
2026-02-10,130000000,PACO MARKET,Rice,NFA - KG,
2026-02-10,130000000,DAGONOY MARKET,Rice,NFA - KG,
2026-02-10,130000000,TRABAJO MARKET,Rice,NFA - KG,
2026-02-10,130000000,BLUMENTRITT MARKET,Rice,NFA - KG,
2026-02-10,130000000,MANDALUYONG PUBLIC MARKET I,Rice,NFA - KG,
2026-02-10,130000000,NAVOTAS AGORA MARKET,Rice,NFA - KG,
2026-02-10,130000000,LA HUERTA MARKET,Rice,NFA - KG,
2026-02-10,130000000,CARTIMAR MARKET,Rice,NFA - KG,
2026-02-10,130000000,GRACE MARKETPLACE (PATEROS),Rice,NFA - KG,
2026-02-10,130000000,MURPHY MARKET,Rice,NFA - KG,
2026-02-10,130000000,KAMUNING MARKET,Rice,NFA - KG,
2026-02-10,130000000,AGORA PUBLIC MARKET (SAN JUAN),Rice,NFA - KG,
2026-02-10,130000000,BICUTAN MARKET,Rice,NFA - KG,
2026-02-10,130000000,TAGUIG PEOPLE'S MARKET,Rice,NFA - KG,
2026-02-10,130000000,NEW MARULAS PUBLIC MARKET,Rice,NFA - KG,
2026-02-10,130000000,BALINTAWAK MARKET (CLOVERLEAF),Rice,NFA - KG,
2026-02-10,130000000,FARMERS MARKET,Rice,NFA - KG,
2026-02-10,130000000,COMMONWEALTH MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,
2026-02-10,130000000,GUADALUPE PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,60.0
2026-02-10,130000000,NEW LAS PINAS CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-10,130000000,MARIKINA PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-10,130000000,MUNOZ MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
