extract_dt,region_id,region_name,market_name,category,commodity,price,scrape_ts
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),A. LISTA PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ABATAN PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ABATAN PUBLIC MARKET (MT. PROVINCE),CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),"ACOP, CAPONGA MARKET",CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ATOK PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BAGUIO CITY PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BANGUED PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BONTOC PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BULANAO PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),DAGUPAN TABUK CITY PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),FLORA PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),KAYANG MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),KIANGAN PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),LA TRINIDAD PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),LAGANGILANG PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),LAGAWE PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),LAMUT PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),LUNA PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),MABAAY PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),MANKAYAN PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),PIDIGAN PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),PINUKPUK PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),STA. MARCELA PUBLIC MARKET,CORN,"Corn (White) - Cob, Glutinous",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),A. LISTA PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ABATAN PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ABATAN PUBLIC MARKET (MT. PROVINCE),CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),"ACOP, CAPONGA MARKET",CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),ATOK PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BAGUIO CITY PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BANGUED PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BONTOC PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),BULANAO PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),DAGUPAN TABUK CITY PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
2026-02-11,140000000,CAR (CORDILLERA ADMINISTRATIVE REGION),FLORA PUBLIC MARKET,CORN,"Corn (Yellow) - Cob, Sweet Corn",,2026-02-11T13:58:45.973116+08:00
