extract_dt,region_id,market_name,category,commodity,price
2026-02-13,130000000,COMMONWEALTH MARKET,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,MARIKINA PUBLIC MARKET,Legumes,Mungbean - KG,130.0
2026-02-13,130000000,MUNOZ MARKET,Legumes,Mungbean - KG,140.0
2026-02-13,130000000,MUTYA NG PASIG MEGA MARKET,Legumes,Mungbean - KG,150.0
2026-02-13,130000000,MEGA Q MART,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,PAMILIHANG LUNGSOD NG MUNTINLUPA,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,MALABON CENTRAL MARKET,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,PRITIL MARKET,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,DAGONOY MARKET,Legumes,Mungbean - KG,140.0
2026-02-13,130000000,TRABAJO MARKET,Legumes,Mungbean - KG,140.0
2026-02-13,130000000,NAVOTAS AGORA MARKET,Legumes,Mungbean - KG,120.0
2026-02-13,130000000,CARTIMAR MARKET,Legumes,Mungbean - KG,140.0
2026-02-13,130000000,MURPHY MARKET,Legumes,Mungbean - KG,140.0
2026-02-13,130000000,NEW MARULAS PUBLIC MARKET,Legumes,Mungbean - KG,130.0
2026-02-13,130000000,BALINTAWAK MARKET (CLOVERLEAF),Legumes,Mungbean - KG,110.0
2026-02-13,130000000,COMMONWEALTH MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-13,130000000,NEW LAS PINAS CITY PUBLIC MARKET,Spices,Garlic(Imported) - KG,145.0
2026-02-13,130000000,MARIKINA PUBLIC MARKET,Spices,Garlic(Imported) - KG,180.0
2026-02-13,130000000,MUNOZ MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-13,130000000,MUTYA NG PASIG MEGA MARKET,Spices,Garlic(Imported) - KG,200.0
2026-02-13,130000000,MEGA Q MART,Spices,Garlic(Imported) - KG,140.0
2026-02-13,130000000,PAMILIHANG LUNGSOD NG MUNTINLUPA,Spices,Garlic(Imported) - KG,150.0
2026-02-13,130000000,MALABON CENTRAL MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-13,130000000,PRITIL MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-13,130000000,DAGONOY MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-13,130000000,TRABAJO MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-13,130000000,NAVOTAS AGORA MARKET,Spices,Garlic(Imported) - KG,160.0
2026-02-13,130000000,CARTIMAR MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-13,130000000,MURPHY MARKET,Spices,Garlic(Imported) - KG,170.0
2026-02-13,130000000,NEW MARULAS PUBLIC MARKET,Spices,Garlic(Imported) - KG,160.0
2026-02-13,130000000,BALINTAWAK MARKET (CLOVERLEAF),Spices,Garlic(Imported) - KG,120.0
