extract_dt,region_id,market_name,category,commodity,price
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,66.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,55.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,48.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,42.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,35.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,36.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,38.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,48.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,35.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,55.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,75.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,50.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,52.0
2026-02-11,10000000,"AGOO, LA UNION PUBLIC MARKET",Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,65.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,48.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,45.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,52.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-11,10000000,"AGOO, LA UNION PUBLIC MARKET",Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Corn,"Corn (White) - Cob, Glutinous",60.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",50.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",60.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",50.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",30.0
2026-02-11,10000000,"AGOO, LA UNION PUBLIC MARKET",Corn,"Corn Cracked (Yellow, Feed Grade) - KG",34.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Corn,Corn Grits (Feed Grade) - KG,35.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,30.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Legumes,Mungbean - KG,100.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Legumes,Mungbean - KG,100.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,10000000,LAOAG CITY COMMERCIAL COMPLEX,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),240.0
2026-02-11,10000000,CANDON CITY FARMERS PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),280.0
2026-02-11,10000000,VIGAN CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),250.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),190.0
2026-02-11,10000000,URDANETA CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),250.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),200.0
2026-02-11,10000000,"AGOO, LA UNION PUBLIC MARKET",Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),220.0
2026-02-11,10000000,ALAMINOS NEPO ALLEY MARKET(ALAMINOS CITY),Fish,"Galunggong(Imported) - MALE, MEDIUM (12-14PCS/KG)",200.0
2026-02-11,10000000,SAN CARLOS NEW PUBLIC MARKET,Fish,"Galunggong(Imported) - MALE, MEDIUM (12-14PCS/KG)",270.0
2026-02-11,10000000,CITY OF BATAC PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",300.0
