extract_dt,region_id,market_name,category,commodity,price
2026-02-11,30000000,BALANGA CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-11,30000000,SAN ILDEFONSO PUBLIC MARKET,Legumes,Mungbean - KG,150.0
2026-02-11,30000000,BOCAUE PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,30000000,QUEZON PUBLIC MARKET,Legumes,Mungbean - KG,150.0
2026-02-11,30000000,SAN LEONARDO PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,30000000,BALER PUBLIC MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-11,30000000,SANTA MARIA PUBLIC MARKET,Spices,Garlic(Imported) - KG,130.0
2026-02-11,30000000,BALANGA CITY PUBLIC MARKET,Spices,Garlic(Imported) - KG,160.0
2026-02-11,30000000,DINALUPIHAN PUBLIC MARKET,Spices,Garlic(Imported) - KG,160.0
2026-02-11,30000000,SAN ILDEFONSO PUBLIC MARKET,Spices,Garlic(Imported) - KG,120.0
2026-02-11,30000000,CABANATUAN PUBLIC MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-11,30000000,CAPAS PUBLIC MARKET,Spices,Garlic(Imported) - KG,120.0
2026-02-11,30000000,BOCAUE PUBLIC MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-11,30000000,SAN JOSE DEL MONTE PUBLIC MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-11,30000000,SAN RAFAEL PUBLIC MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-11,30000000,BAGAC PUBLIC MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-11,30000000,ORION PUBLIC MARKET,Spices,Garlic(Imported) - KG,150.0
2026-02-11,30000000,LIMAY PUBLIC MARKET,Spices,Garlic(Imported) - KG,160.0
2026-02-11,30000000,LAUR PUBLIC MARKET,Spices,Garlic(Imported) - KG,140.0
2026-02-11,30000000,QUEZON PUBLIC MARKET,Spices,Garlic(Imported) - KG,100.0
2026-02-11,30000000,LUPAO PUBLIC MARKET,Spices,Garlic(Imported) - KG,130.0
2026-02-11,30000000,SCIENCE CITY OF MUNOZ PUBLIC MARKET,Spices,Garlic(Imported) - KG,120.0
2026-02-11,30000000,LLANERA PUBLIC MARKET,Spices,Garlic(Imported) - KG,120.0
2026-02-11,30000000,SAN LEONARDO PUBLIC MARKET,Spices,Garlic(Imported) - KG,120.0
2026-02-11,30000000,BALER PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",100.0
2026-02-11,30000000,SANTA MARIA PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",120.0
2026-02-11,30000000,BALANGA CITY PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,30000000,DINALUPIHAN PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,30000000,SAN ILDEFONSO PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",100.0
2026-02-11,30000000,CABANATUAN PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",120.0
2026-02-11,30000000,CAPAS PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",100.0
2026-02-11,30000000,BOCAUE PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,30000000,SAN JOSE DEL MONTE PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",140.0
2026-02-11,30000000,SAN RAFAEL PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",120.0
2026-02-11,30000000,VICTORIA PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",100.0
2026-02-11,30000000,BAGAC PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",180.0
2026-02-11,30000000,ORION PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",130.0
2026-02-11,30000000,LIMAY PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,30000000,LAUR PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",120.0
2026-02-11,30000000,QUEZON PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",100.0
2026-02-11,30000000,LUPAO PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",150.0
2026-02-11,30000000,SCIENCE CITY OF MUNOZ PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",180.0
2026-02-11,30000000,LLANERA PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",80.0
2026-02-11,30000000,SAN LEONARDO PUBLIC MARKET,Spices,"Ginger - FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",110.0
2026-02-11,30000000,BALER PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,150.0
2026-02-11,30000000,SANTA MARIA PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,120.0
2026-02-11,30000000,BALANGA CITY PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,160.0
2026-02-11,30000000,DINALUPIHAN PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,160.0
2026-02-11,30000000,SAN ILDEFONSO PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,120.0
2026-02-11,30000000,CABANATUAN PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,140.0
2026-02-11,30000000,BOCAUE PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,120.0
2026-02-11,30000000,SAN JOSE DEL MONTE PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,150.0
2026-02-11,30000000,SAN RAFAEL PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,130.0
2026-02-11,30000000,VICTORIA PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,130.0
2026-02-11,30000000,BAGAC PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,160.0
2026-02-11,30000000,ORION PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,150.0
2026-02-11,30000000,LIMAY PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,150.0
2026-02-11,30000000,LAUR PUBLIC MARKET,Spices,Red Onion - 13-15 PCS/KG,130.0
