extract_dt,region_id,market_name,category,commodity,price
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Legumes,Mungbean - KG,90.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,80.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Squash - SUPREMA VARIETY,40.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Pechay (Native) - 3-4 SMALL BUNDLES/KG,65.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Sitao - 3-4 SMALL BUNDLES/KG,70.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Eggplant - 3-4 SMALL BUNDLES/KG,70.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Lowland Vegetables,Tomato - 15-18 PCS/KG,80.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Other Commodities,Cooking Oil Palm 1L - 1 LITER/BOTTLE,96.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Other Commodities,Cooking Oil Palm 350ML - 350 ML/BOTTLE,38.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Other Commodities,Sugar (Brown) - KG,60.0
2026-02-12,90000000,ZAMBOANGA CITY PUBLIC MARKET,Other Commodities,Sugar (Refined) - KG,75.0
2026-02-12,090000000,ZAMBOANGA CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",42.0
2026-02-12,090000000,ZAMBOANGA CITY PUBLIC MARKET,Legumes,Mungbean - KG,90.0
