extract_dt,region_id,market_name,category,commodity,price
2026-02-11,80000000,NAVAL MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,57.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,55.0
2026-02-11,80000000,NAVAL MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,54.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,42.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,49.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,48.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",47.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",46.0
2026-02-11,80000000,NAVAL MARKET,Corn,Corn Grits (Feed Grade) - KG,49.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,48.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,44.0
2026-02-11,80000000,NAVAL MARKET,Legumes,Mungbean - KG,100.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Fish,Alumahan - MEDIUM (4-6PCS/KG),320.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),280.0
2026-02-11,80000000,TACLOBAN CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),250.0
2026-02-11,80000000,NAVAL MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",240.0
2026-02-11,80000000,BORONGAN CITY PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",320.0
2026-02-11,80000000,NAVAL MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),240.0
