extract_dt,region_id,market_name,category,commodity,price
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,80.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,80.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,90.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,150.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,90.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,150.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,150.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,70.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,80.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Chayote - KG,20.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Chayote - KG,40.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),200.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),180.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),200.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Highland Vegetables,Bell Pepper (Red) - MEDIUM (151-250GM/PC),180.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,52.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,60.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,48.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,50.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,53.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",60.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",36.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),200.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),200.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",230.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),140.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fish,Yellow-Fin Tuna (Tambakol),300.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fish,Yellow-Fin Tuna (Tambakol),540.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),200.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),220.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Calamansi - KG,50.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,Calamansi - KG,80.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,45.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,60.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,40.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,35.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",150.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",100.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",30.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",50.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Avocado,200.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Pomelo - KG,100.0
2026-02-12,110000000,BANKEROHAN PUBLIC MARKET,Fruits,Watermelon - KG,45.0
2026-02-12,110000000,MATI CITY PUBLIC MARKET,Fruits,Watermelon - KG,60.0
