extract_dt,region_id,market_name,category,commodity,price
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,56.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,46.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,49.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",35.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Corn,"Corn Grits (White, Food Grade) - KG",40.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",28.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,21.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Corn,"Corn Grits (Yellow, Food Grade) - KG",32.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),200.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),70.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Bonito,260.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Salmon Head,190.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Squid (Pusit Bisaya) - Medium,180.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Yellow-Fin Tuna (Tambakol),260.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),240.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Calamansi - KG,30.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Banana (Lakatan) - 8-10PCS/KG,60.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Banana (Latundan) - 10-12PCS/KG,50.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,"Mango (Carabao) - RIPE, 3-4PCS/KG",130.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,"Papaya - SOLO, RIPE, 2-3PCS",45.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Melon,40.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Pomelo - KG,80.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Watermelon - KG,45.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Fruits,Banana (Saba) - KG,20.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Cabbage (Scorpio) - 750GM-1KG/HEAD,80.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Carrots - 8-10PCS/KG,60.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Habichuelas (Baguio Bean) - KG,80.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,White Potato - 10-12PCS/KG,120.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Pechay (Baguio) - KG,50.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Chayote - KG,35.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Broccoli - MEDIUM (8-10CM DIAMETER/BUNCH HD),250.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Cauliflower - MEDIUM (8-10CM DIAMETER/BUNCH HD),260.0
2026-02-11,120000000,KIDAPAWAN CITY PUBLIC MARKET,Highland Vegetables,Bell Pepper (Green) - MEDIUM (151-250GM/PC),200.0
