extract_dt,region_id,market_name,category,commodity,price
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,Alumahan - MEDIUM (4-6PCS/KG),340.0
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,Bangus (Medium) - MEDIUM (3-4PCS/KG),260.0
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,"Galunggong(Local) - MALE, MEDIUM(12-14PCS/KG)",240.0
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,Tilapia - MEDIUM (5-6PCS/KG),160.0
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,Sardines (Tamban),80.0
2026-02-12,50000000,DAET PUBLIC MARKET,Fish,Bangus (Large) - LARGE (KG),280.0
2026-02-12,50000000,DAET PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",120.0
2026-02-12,50000000,SORSOGON CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",100.0
2026-02-12,50000000,PILI PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",100.0
2026-02-12,50000000,LIGAO CITY PUBLIC MARKET,Corn,"Corn Cracked (Yellow, Feed Grade) - KG",35.0
2026-02-12,50000000,LIGAO CITY PUBLIC MARKET,Corn,Corn Grits (Feed Grade) - KG,37.0
2026-02-12,50000000,SORSOGON CITY PUBLIC MARKET,Corn,"Corn Grits (Yellow, Food Grade) - KG",60.0
2026-02-12,50000000,DAET PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-12,50000000,NAGA PEOPLE'S MALL,Legumes,Mungbean - KG,140.0
2026-02-12,50000000,VIRAC PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,50000000,SORSOGON CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-12,50000000,PILI PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,50000000,LIGAO CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,LEGAZPI CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,DAET PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,NAGA PEOPLE'S MALL,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,VIRAC PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,TABACO CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,IRIGA CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,SORSOGON CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,PILI PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,LIGAO CITY PUBLIC MARKET,Legumes,Mungbean - KG,140.0
2026-02-12,050000000,LEGAZPI CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,95.0
2026-02-12,050000000,DAET PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,120.0
2026-02-12,050000000,NAGA PEOPLE'S MALL,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,140.0
2026-02-12,050000000,VIRAC PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,180.0
2026-02-12,050000000,TABACO CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,140.0
2026-02-12,050000000,IRIGA CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,140.0
2026-02-12,050000000,SORSOGON CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,160.0
2026-02-12,050000000,PILI PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,150.0
2026-02-12,050000000,LIGAO CITY PUBLIC MARKET,Lowland Vegetables,Ampalaya - 4-5 PCS/KG,140.0
