extract_dt,region_id,market_name,category,commodity,price
2026-02-15,170000000,BUENAVISTA PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-15,170000000,MOGPOG PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,STA. CRUZ PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,CALAPAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,PUERTO GALERA PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,NARRA PUBLIC MARKET,Legumes,Mungbean - KG,110.0
2026-02-15,170000000,BUENAVISTA PUBLIC MARKET,Legumes,Mungbean - KG,100.0
2026-02-15,170000000,MOGPOG PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,STA. CRUZ PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,CALAPAN CITY PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,PUERTO GALERA PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,PUERTO PRINCESA CITY NEW PUBLIC MARKET,Legumes,Mungbean - KG,120.0
2026-02-15,170000000,NARRA PUBLIC MARKET,Legumes,Mungbean - KG,110.0
