extract_dt,region_id,market_name,category,commodity,price
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-17,040000000,LIPA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-17,040000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,50.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (IMPORTED) Premium (Yellow tagged) - 5% BROKEN,58.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,LIPA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,LUCENA CITY PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,54.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (IMPORTED) Special (Blue tagged) - WHITE RICE,58.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,56.0
2026-02-17,040000000,LUCENA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,45.0
2026-02-17,040000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,51.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,55.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (LOCAL) Premium (Yellow tagged) - 5% BROKEN,49.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,52.0
2026-02-17,040000000,LUCENA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,43.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,40.0
2026-02-17,040000000,TIAONG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Regular Milled - 20-40% BRAN STREAK,51.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,LUCENA CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,58.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,60.0
2026-02-17,040000000,TIAONG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Special (Blue tagged) - WHITE RICE,62.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,54.0
2026-02-17,040000000,IMUS PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,50.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,44.0
2026-02-17,040000000,TIAONG PUBLIC MARKET,Rice,COMMERCIAL (LOCAL) Well Milled - 1-19% BRAN STREAK,55.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Corn,"Corn (White) - Cob, Glutinous",70.0
2026-02-17,040000000,LIPA CITY PUBLIC MARKET,Corn,"Corn (White) - Cob, Glutinous",100.0
2026-02-17,040000000,JULIAN PASTOR MEMORIAL MARKET,Corn,"Corn (White) - Cob, Glutinous",80.0
2026-02-17,040000000,CITY MALL OF ANTIPOLO,Corn,"Corn (White) - Cob, Glutinous",80.0
2026-02-17,040000000,BINAN CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",50.0
2026-02-17,040000000,LIPA CITY PUBLIC MARKET,Corn,"Corn (Yellow) - Cob, Sweet Corn",80.0
