commodity_id,commodity_name
0,Alumahan
0,Ampalaya
0,Avocado
0,Banana (Lakatan)
0,Banana (Latundan)
0,Banana (Saba)
0,Bangus (Large)
0,Bangus (Medium)
0,Beef Brisket
0,Beef Rump
0,Bell Pepper (Green)
0,Bell Pepper (Red)
0,Bonito
0,Broccoli
0,COMMERCIAL (IMPORTED) Premium (Yellow tagged)
0,COMMERCIAL (IMPORTED) Regular Milled
0,COMMERCIAL (IMPORTED) Special (Blue tagged)
0,COMMERCIAL (IMPORTED) Well Milled
0,COMMERCIAL (LOCAL) Premium (Yellow tagged)
0,COMMERCIAL (LOCAL) Regular Milled
0,COMMERCIAL (LOCAL) Special (Blue tagged)
0,COMMERCIAL (LOCAL) Well Milled
0,Cabbage (Rare Ball)
0,Cabbage (Scorpio)
0,Cabbage (Wonder Ball)
0,Calamansi
0,Carrots
0,Cauliflower
0,Celery
0,Chayote
0,"Chicken Egg (Brown, Extra Large)"
0,"Chicken Egg (Brown, Large)"
0,"Chicken Egg (Brown, Medium)"
0,"Chicken Egg (White, Extra Large)"
0,"Chicken Egg (White, Extra Small)"
0,"Chicken Egg (White, Jumbo)"
0,"Chicken Egg (White, Large)"
0,"Chicken Egg (White, Medium)"
0,"Chicken Egg (White, Pewee)"
0,"Chicken Egg (White, Small)"
0,Chili (Red)
0,Cooking Oil (Coconut) 1L
0,Cooking Oil (Coconut) 350ML
0,Cooking Oil Palm 1L
0,Cooking Oil Palm 350ML
0,Corn (White)
0,Corn (Yellow)
0,"Corn Cracked (Yellow, Feed Grade)"
0,Corn Grits (Feed Grade)
0,"Corn Grits (White, Food Grade)"
0,"Corn Grits (Yellow, Food Grade)"
0,Eggplant
0,Frozen Kasim
0,Frozen Liempo
0,Galunggong(Imported)
0,Galunggong(Local)
0,Garlic(Imported)
0,Garlic(Native)
0,Ginger
0,Habichuelas (Baguio Bean)
0,Lettuce (Green Ice)
0,Lettuce (Iceberg)
0,Lettuce (Romaine)
0,Mango (Carabao)
0,Melon
0,Mungbean
0,NFA
0,Papaya
0,Pechay (Baguio)
0,Pechay (Native)
0,Pomelo
0,Pork Belly (Liempo)
0,Pork Ham (Kasim)
0,Red Onion
0,Red Onion (Imported)
0,Salmon Head
0,Sardines (Tamban)
0,Sitao
0,Squash
0,Squid (Pusit Bisaya)
0,Sugar (Brown)
0,Sugar (Refined)
0,Sugar (Washed)
0,Tilapia
0,Tomato
0,Watermelon
0,White Onion
0,White Onion (Imported)
0,White Potato
0,Whole Chicken
0,Yellow-Fin Tuna (Tambakol)
