region_name,cnt
NCR (NATIONAL CAPITAL REGION),10206
REGION IV-A (CALABARZON),3225
REGION V (BICOL REGION),3117
REGION I (ILOCOS REGION),3056
REGION X (NORTHERN MINDANAO),3022
CAR (CORDILLERA ADMINISTRATIVE REGION),2897
BARMM (Bangsamoro Autonomous Region of Muslim Mindanao),1806
REGION XIII (Caraga),1483
40000000,1076
REGION XI (DAVAO REGION),977
REGION VI (WESTERN VISAYAS),807
REGION XII (SOCCSKSARGEN),761
REGION VIII (EASTERN VISAYAS),713
10000000,634
10000000.0,551
40000000.0,515
50000000.0,494
100000000.0,444
REGION VII (CENTRAL VISAYAS),438
50000000,348
REGION III (CENTRAL LUZON),334
60000000,300
REGION II (CAGAYAN VALLEY),299
REGION IX (ZAMBOANGA PENINSULA),271
80000000.0,206
80000000,196
20000000.0,194
REGION IV-B (MIMAROPA),143
20000000,136
70000000,131
60000000.0,116
30000000,106
90000000,78
70000000.0,54
90000000.0,33
170000000.0,25
