market_name,lat,lon
COGON PUBLIC MARKET,8.4774301,124.6515307
MEGA Q MART,14.6280652,121.0484253
SAN ILDEFONSO PUBLIC MARKET,15.0792795,120.9419661
MADDELA PUBLIC MARKET,16.3410656,121.6833093
CABARROGUIS PUBLIC MARKET,16.5209715,121.5210129
BAGABAG PUBLIC MARKET,16.6047427,121.2516114
BALER PUBLIC MARKET,15.7533503,121.5588438
NAVAL MARKET,11.5594448,124.3923781
LLANERA PUBLIC MARKET,15.6638369,121.0174498
IMUS PUBLIC MARKET,14.4229405,120.9407001
LEGAZPI CITY PUBLIC MARKET,13.1468588,123.7503938
SAN CARLOS CITY PUBLIC MARKET,15.9334742,120.3455111
PRITIL MARKET,14.6179043,120.9698114
URDANETA CITY PUBLIC MARKET,15.9747809,120.5703446
MARIKINA PUBLIC MARKET,14.633029,121.0962052
ROXAS PUBLIC MARKET,14.6289744,121.0194337
KALIBO PUBLIC MARKET,11.7064738,122.3701597
PARANG PUBLIC MARKET,7.3756893,124.2649116
SHARIFF AGUAK PUBLIC MARKET,6.8623731,124.4446634
BULANAO PUBLIC MARKET,17.4143944,121.4416961
SAN NICOLAS MARKET,13.9298361,120.9524827
ORMOC CITY PUBLIC MARKET,11.0044937,124.6054793
AMPAYON PUBLIC MARKET,8.9596994,125.6027904
ROXAS PUBLIC MARKET - PALAWAN,10.3197384,119.3407413
BALIWAG PUBLIC MARKET,14.9526801,120.9013686
OLONGAPO PUBLIC MARKET (EAST BAJAC-BAJAC),14.8404784,120.2867185
VIRAC PUBLIC MARKET,13.5783996,124.2292937
MASBATE CITY PUBLIC MARKET,12.3633852,123.622116
LIGAO CITY PUBLIC MARKET,13.2419596,123.5388382
KAYANG MARKET,16.4150212,120.5943778
JULIAN PASTOR MEMORIAL MARKET,13.7498763,121.0565952
BACOLOD PUBLIC MARKET,10.672812,122.9464977
DAET PUBLIC MARKET,14.1167757,122.9557124
LUHA PUBLIC MARKET,9.0563795,126.1969276
TAGUIG PEOPLE'S MARKET,14.4877808,121.0605069
FARMERS MARKET,14.6192977,121.0523583
