category,commodity,official_srp,unit
Corn,"Corn (White) - Cob, Glutinous",85.88,kg
Corn,"Corn (Yellow) - Cob, Sweet Corn",81.65,kg
Corn,"Corn Grits (White) - Food Grade",120.00,kg
Corn,"Corn Grits (Yellow) - Food Grade",120.00,kg
Corn,"Corn (Yellow) - Cracked, Feed Grade",50.00,kg
Corn,"Corn Grits (Feed Grade)",46.67,kg
Rice,"Rice (Special)",65.00,kg
Rice,"Rice (Premium)",60.00,kg
Rice,"Rice (Regular Milled)",50.00,kg
Rice,"Rice (Well Milled)",55.00,kg
Lowland Vegetables,"Onion (Red) - Native",140.00,kg
Lowland Vegetables,"Onion (White) - Imported",120.00,kg
Meat and Poultry,"Pork (Kasim)",330.00,kg
Meat and Poultry,"Pork (Liempo)",380.00,kg
Meat and Poultry,"Chicken (Whole)",190.00,kg
Meat and Poultry,"Egg (Medium)",8.50,pc
Other Commodities,"Sugar (Refined)",90.00,kg
Spices,"Garlic (Native)",400.00,kg
Spices,"Ginger (Native)",120.00,kg
